,start,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,,,,,,,,,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,cement,cement,cement,cement,cement,cement,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,cement,cement,cement,cement,cement,cement,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,jewels,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,jewels,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,jewels,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,,,,,,,,,,cement,cement,,end,,,dirt,dirt,,,,,,,,
dirt,dirt,dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,dirt,dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,bones,bones,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,water,water,water
dirt,dirt,dirt,dirt,jewels,dirt,dirt,dirt,bones,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,bones,dirt,dirt,jewels,dirt,dirt,dirt,dirt,water,water,water
